2020-11-19 20:03:34 status not-installed gnupg1:amd64 <none>
2020-11-19 20:03:34 status installed libcurl3-gnutls:amd64 7.64.0-4+deb10u1
2020-11-19 20:03:34 remove libcurl3-gnutls:amd64 7.64.0-4+deb10u1 <none>
2020-11-19 20:03:34 status triggers-pending libc-bin:amd64 2.28-10
2020-11-19 20:03:34 status half-configured libcurl3-gnutls:amd64 7.64.0-4+deb10u1
2020-11-19 20:03:34 status half-installed libcurl3-gnutls:amd64 7.64.0-4+deb10u1
2020-11-19 20:03:34 status config-files libcurl3-gnutls:amd64 7.64.0-4+deb10u1
2020-11-19 20:03:34 status not-installed libcurl3-gnutls:amd64 <none>
2020-11-19 20:03:34 status installed libgssapi-krb5-2:amd64 1.17-3
2020-11-19 20:03:34 remove libgssapi-krb5-2:amd64 1.17-3 <none>
2020-11-19 20:03:34 status half-configured libgssapi-krb5-2:amd64 1.17-3
2020-11-19 20:03:34 status half-installed libgssapi-krb5-2:amd64 1.17-3
2020-11-19 20:03:34 status config-files libgssapi-krb5-2:amd64 1.17-3
2020-11-19 20:03:34 status installed libkrb5-3:amd64 1.17-3
2020-11-19 20:03:34 remove libkrb5-3:amd64 1.17-3 <none>
2020-11-19 20:03:34 status half-configured libkrb5-3:amd64 1.17-3
2020-11-19 20:03:34 status half-installed libkrb5-3:amd64 1.17-3
2020-11-19 20:03:34 status config-files libkrb5-3:amd64 1.17-3
2020-11-19 20:03:34 status not-installed libkrb5-3:amd64 <none>
2020-11-19 20:03:34 status installed libk5crypto3:amd64 1.17-3
2020-11-19 20:03:34 remove libk5crypto3:amd64 1.17-3 <none>
2020-11-19 20:03:34 status half-configured libk5crypto3:amd64 1.17-3
2020-11-19 20:03:34 status half-installed libk5crypto3:amd64 1.17-3
2020-11-19 20:03:34 status config-files libk5crypto3:amd64 1.17-3
2020-11-19 20:03:34 status not-installed libk5crypto3:amd64 <none>
2020-11-19 20:03:34 status installed libkrb5support0:amd64 1.17-3
2020-11-19 20:03:34 remove libkrb5support0:amd64 1.17-3 <none>
2020-11-19 20:03:34 status half-configured libkrb5support0:amd64 1.17-3
2020-11-19 20:03:34 status half-installed libkrb5support0:amd64 1.17-3
2020-11-19 20:03:34 status config-files libkrb5support0:amd64 1.17-3
2020-11-19 20:03:34 status not-installed libkrb5support0:amd64 <none>
2020-11-19 20:03:34 status installed libkeyutils1:amd64 1.6-6
2020-11-19 20:03:34 remove libkeyutils1:amd64 1.6-6 <none>
2020-11-19 20:03:34 status half-configured libkeyutils1:amd64 1.6-6
2020-11-19 20:03:34 status half-installed libkeyutils1:amd64 1.6-6
2020-11-19 20:03:34 status config-files libkeyutils1:amd64 1.6-6
2020-11-19 20:03:34 status not-installed libkeyutils1:amd64 <none>
2020-11-19 20:03:34 status installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:34 remove libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4 <none>
2020-11-19 20:03:34 status half-configured libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:34 status half-installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:34 status config-files libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:34 status not-installed libldap-2.4-2:amd64 <none>
2020-11-19 20:03:34 status installed libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:34 remove libldap-common:all 2.4.47+dfsg-3+deb10u4 <none>
2020-11-19 20:03:34 status half-configured libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:34 status half-installed libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:34 status config-files libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:34 status installed libnghttp2-14:amd64 1.36.0-2+deb10u1
2020-11-19 20:03:34 remove libnghttp2-14:amd64 1.36.0-2+deb10u1 <none>
2020-11-19 20:03:34 status half-configured libnghttp2-14:amd64 1.36.0-2+deb10u1
2020-11-19 20:03:34 status half-installed libnghttp2-14:amd64 1.36.0-2+deb10u1
2020-11-19 20:03:34 status config-files libnghttp2-14:amd64 1.36.0-2+deb10u1
2020-11-19 20:03:34 status not-installed libnghttp2-14:amd64 <none>
2020-11-19 20:03:34 status installed libpsl5:amd64 0.20.2-2
2020-11-19 20:03:34 remove libpsl5:amd64 0.20.2-2 <none>
2020-11-19 20:03:34 status half-configured libpsl5:amd64 0.20.2-2
2020-11-19 20:03:34 status half-installed libpsl5:amd64 0.20.2-2
2020-11-19 20:03:34 status config-files libpsl5:amd64 0.20.2-2
2020-11-19 20:03:34 status not-installed libpsl5:amd64 <none>
2020-11-19 20:03:34 status installed libreadline7:amd64 7.0-5
2020-11-19 20:03:34 remove libreadline7:amd64 7.0-5 <none>
2020-11-19 20:03:34 status half-configured libreadline7:amd64 7.0-5
2020-11-19 20:03:34 status half-installed libreadline7:amd64 7.0-5
2020-11-19 20:03:34 status config-files libreadline7:amd64 7.0-5
2020-11-19 20:03:34 status not-installed libreadline7:amd64 <none>
2020-11-19 20:03:34 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2020-11-19 20:03:34 remove librtmp1:amd64 2.4+20151223.gitfa8646d.1-2 <none>
2020-11-19 20:03:34 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2020-11-19 20:03:34 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2020-11-19 20:03:35 status config-files librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2020-11-19 20:03:35 status not-installed librtmp1:amd64 <none>
2020-11-19 20:03:35 status installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
